HomeTeam,VisitorTeam,VisitorPointsScoredAverage,VisitorScheduleStrength,VisitorPointsAllowedAverage,HomePointsScoredAverage,HomeScheduleStrength,HomePointsAllowedAverage,HomeTeamGameScore,VisitorTeamGameScore,Spread,HomeTeamBeatSpread
Cleveland,Buffalo,22,21.135,23.25,16,21.2525,17.5,37,24,-4.5,W
Tennessee,KansasCity,25.5,13.585,10.25,24.5,18.3425,17.25,17,26,2.5,L
Miami,Baltimore,22.75,22.055,21.75,22.75,24.145,22.75,23,26,-2.5,L
StLouis,Jacksonville,7.75,22.175,32.25,17.25,20.1775,30.25,34,20,-11.5,W
Cincinnati,NewEngland,22.25,17.825,14.25,20.25,19.89,20.25,13,6,-1,W
Indianapolis,Seattle,30,17,11.75,26.25,14.8225,12.75,34,28,2.5,W
GreenBay,Detroit,30.5,18.655,25.25,32,20.3,29.33333333,22,9,-7.5,W
Chicago,NewOrleans,27,17.5225,13.75,31.75,18.975,28.5,18,26,0,L
NewYorkGiants,Philadelphia,24.75,22.6725,34.5,15.25,25.58,36.5,21,36,-2.5,L
Oakland,SanDiego,27,20.43,25.5,17.75,18.525,22.75,27,17,5,W
Dallas,Denver,44.75,15.09,22.75,26,17.48,21.25,48,51,7.5,W
SanFrancisco,Houston,22.5,23.9525,26.25,19.75,22.3325,23.75,34,3,-5,W
Atlanta,NewYorkJets,17,21.105,22,23.5,22.37,26,28,30,-9.5,L
Chicago,NewYorkGiants,16.4,23.224,36.4,29,20.352,28,27,21,-8,L
KansasCity,Oakland,19.6,18.122,21.6,25.6,15.698,11.6,24,7,-8,W
TampaBay,Philadelphia,27,20.992,31.8,11,22.5525,17.5,20,31,1.5,L
Baltimore,GreenBay,29.5,21.6525,24.25,23.4,21.966,22,17,19,2.5,W
Cleveland,Detroit,26.2,21.408,24.6,20.2,20.026,18.8,17,31,2.5,L
Minnesota,Carolina,18.5,18.4825,14.5,28.75,20.145,30.75,10,35,-2.5,L
Houston,StLouis,20.6,16.938,28.2,18.6,23.596,27.8,13,38,-7.5,L
NewYorkJets,Pittsburgh,17.25,19.7525,27.5,19.6,20.3,23.2,6,19,-1,L
Buffalo,Cincinnati,18.8,20.738,17.4,22.4,20.29,26,24,27,7.5,W
Seattle,Tennessee,23,17.84,19,29.6,18.994,16.2,20,13,-13,L
Denver,Jacksonville,10.2,21.766,32.6,46,17.424,27.8,35,19,-27,L
SanFrancisco,Arizona,18.2,20.206,19,22.6,21.296,19.6,32,20,-11.5,W
NewEngland,NewOrleans,26.8,18.664,14.6,19,19.206,14,30,27,-2,W
Dallas,Washington,22.75,20.3625,28,30.4,18.49,27.2,31,16,-6,W
SanDiego,Indianapolis,27.8,17.662,15.8,25,19.588,25.8,19,9,1,W
Arizona,Seattle,28,18.33666667,15.66666667,18.5,22.17,21.16666667,22,34,6.5,L
NewYorkJets,NewEngland,20.83333333,19.355,16.16666667,17.33333333,18.86166667,22.5,30,27,4,W
Jacksonville,SanDiego,24,19.46833333,23,11.66666667,23.46166667,33,6,24,7.5,L
KansasCity,Houston,17.66666667,21.84333333,29.5,25.33333333,15.84,10.83333333,17,16,-6.5,L
Detroit,Cincinnati,20.16666667,20.675,18.5,27,20.38833333,23.33333333,24,27,-2.5,L
Miami,Buffalo,22.66666667,19.85666667,26.16666667,22.8,22.772,23.4,21,23,-7.5,L
Washington,Chicago,28.66666667,18.775,26.83333333,21.4,21.794,28.6,45,41,0,W
Philadelphia,Dallas,30.5,18.96666667,25.33333333,27.66666667,19.06,29.83333333,3,17,-2.5,L
Carolina,StLouis,23.5,17.835,25.66666667,21.8,18.99,13.6,30,15,-6,W
Atlanta,TampaBay,12.8,20.43,20.2,24.4,20.812,26.8,31,23,-7,W
Tennessee,SanFrancisco,24.16666667,20.445,19.66666667,21.33333333,20.04166667,19.16666667,17,31,3.5,L
GreenBay,Cleveland,19.66666667,19.39166667,20.83333333,27.4,22.48,22.8,31,13,-10,W
Pittsburgh,Baltimore,22.33333333,21.175,21.5,17.6,19.152,23.2,19,16,-1.5,W
Indianapolis,Denver,44.16666667,15.36,26.33333333,24.66666667,18.63333333,16.33333333,39,33,6.5,W
NewYorkGiants,Minnesota,25,19.8,31.6,17.16666667,24.21666667,34.83333333,23,7,-3.5,W
TampaBay,Carolina,23.16666667,18.24166667,13.83333333,14.5,20.77166667,22,13,31,6.5,L
Detroit,Dallas,28.57142857,19.48428571,22.14285714,26.57142857,20.12571429,23.85714286,31,30,-3.5,L
Philadelphia,NewYorkGiants,18,22.13142857,30.85714286,24.14285714,20.98285714,28,7,15,-6,L
KansasCity,Cleveland,18.71428571,20.57142857,22.28571429,24.14285714,15.67285714,11.57142857,23,17,-6,L
NewOrleans,Buffalo,22.71428571,20.39285714,25.42857143,26.83333333,19.70333333,17.16666667,35,17,-11.5,W
NewEngland,Miami,22.5,21.27,23.33333333,21.71428571,19.66285714,18.14285714,27,17,-6,W
Cincinnati,NewYorkJets,19.14285714,19.23714286,23.14285714,21.14285714,21.30142857,19.28571429,49,9,-6,W
Oakland,Pittsburgh,17.83333333,18.96,22,17.5,19.61166667,22,21,18,2.5,W
Denver,Washington,25.33333333,21.12333333,30.66666667,42.57142857,17.12,28.14285714,45,21,-12,W
Arizona,Atlanta,25.5,19.02166667,26.16666667,19,22.52142857,23,27,13,-2.5,W
Minnesota,GreenBay,28,21.08,21.16666667,22,19.43666667,30.16666667,31,44,10,L
StLouis,Seattle,28.85714286,18.96428571,16.57142857,22.28571429,19.09142857,26.28571429,9,14,12,W
Miami,Cincinnati,24.625,18.86125,18,21.71428571,21.43285714,23.85714286,22,20,2.5,W
Carolina,Atlanta,23.71428571,17.81857143,26.28571429,24.28571429,18.22142857,13.71428571,34,10,-7.5,W
Dallas,Minnesota,23.28571429,20.06,32.14285714,28.75,20.73875,23.25,27,23,-10.5,L
NewYorkJets,NewOrleans,28,17.05,17.14285714,17.875,17.80625,26.375,26,20,6,W
StLouis,Tennessee,20.71428571,20.95428571,20.85714286,20.625,20.8275,24.75,21,28,2.5,L
Buffalo,KansasCity,24,15.65125,12.25,22,21.01625,26.625,13,23,3.5,L
Washington,SanDiego,24,18.76,20.57142857,24.71428571,22.99285714,32.71428571,30,24,1,W
Oakland,Philadelphia,22,20.20125,26.375,18,19.82714286,21.42857143,20,49,-2.5,L
Seattle,TampaBay,14.28571429,18.95571429,23.28571429,27,20.87625,15.625,27,24,-16.5,L
Cleveland,Baltimore,21.42857143,20.91428571,21.14285714,18.5,21.61875,22.375,24,18,2.5,W
NewEngland,Pittsburgh,17.85714286,17.88285714,21.85714286,22.375,17.09125,18,55,31,-6.5,W
Houston,Indianapolis,26.71428571,21.20428571,18.71428571,17.42857143,24.31142857,27.71428571,24,27,2.5,L
GreenBay,Chicago,30.42857143,18.18428571,29.42857143,30.28571429,20.70428571,22.57142857,20,27,-11,L
Minnesota,Washington,25.375,21.86,31.625,23.25,21.805,31.5,34,27,1.5,W
Tennessee,Jacksonville,10.75,22.7525,33,21.625,20.31875,20.875,27,29,-12.5,L
GreenBay,Philadelphia,25,20.09888889,25.66666667,29,20.81625,23.125,13,27,-1,L
Pittsburgh,Buffalo,21,21.69888889,26.22222222,19.5,20.20375,26,23,10,-3,W
NewYorkGiants,Oakland,18.25,18.2,24.875,17.625,23.01625,27.875,24,20,-7,L
Indianapolis,StLouis,20.66666667,19.22666667,25.11111111,26.75,19.32125,19.375,8,38,-9,L
Atlanta,Seattle,27,18.45777778,16.55555556,22,19.97125,27.25,10,33,5.5,L
Baltimore,Cincinnati,24.11111111,20.73222222,18.44444444,21,20.91,21.5,20,17,1.5,W
Chicago,Detroit,27.125,20.83375,24.625,30,20.6925,28.25,19,21,0,L
SanFrancisco,Carolina,25.5,17.72625,13.25,27.25,18.44125,18.125,9,10,-6,L
Arizona,Houston,18.25,22.28125,27.625,20,21.34375,21.75,27,24,-2.5,W
SanDiego,Denver,42.875,16.4975,27.25,24,18.14,21.75,20,28,7,L
NewOrleans,Dallas,28.55555556,19.50777778,23.22222222,27,18.8225,18.25,49,17,-6.5,W
TampaBay,Miami,21.75,21.515,23.375,15.5,21.57,23.75,22,19,2.5,W
Tennessee,Indianapolis,24.66666667,18.96222222,21.44444444,22.22222222,18.61444444,21.77777778,27,30,3,W
TampaBay,Atlanta,20.66666667,20.91666667,27.88888889,16.22222222,21.58,23.22222222,41,28,0,W
Buffalo,NewYorkJets,18.77777778,20.08444444,25.66666667,19.9,21.809,25.9,37,14,0,W
Pittsburgh,Detroit,26.44444444,20.85555556,24,19.88888889,19.01333333,24.22222222,37,27,2.5,W
Philadelphia,Washington,25.55555556,21.40555556,31.88888889,25.2,20.653,24.4,24,16,-3.5,W
Miami,SanDiego,23.55555556,18.58444444,22.44444444,21.44444444,20.72,23.22222222,20,16,1.5,W
Chicago,Baltimore,20.88888889,20.31333333,21,28.77777778,20.41888889,27.44444444,23,20,-3,L
Cincinnati,Cleveland,19.11111111,20.63111111,21.88888889,23.4,20.654,18.6,41,20,-6,W
Houston,Oakland,18.44444444,18.71111111,24.77777778,18.88888889,22.24555556,27.55555556,23,28,-8.5,L
Jacksonville,Arizona,20.77777778,21.16111111,22,12.77777778,22.7,32.33333333,14,27,7,L
Denver,KansasCity,23.88888889,15.96,12.33333333,41.22222222,17.26333333,26.44444444,27,17,-8,W
Seattle,Minnesota,24.44444444,20.57888889,31,27.6,18.591,15.9,41,20,-12.5,W
NewOrleans,SanFrancisco,25.22222222,18.85222222,17.22222222,29.44444444,18.77111111,18.11111111,23,20,-3.5,L
NewYorkGiants,GreenBay,27.22222222,20.15111111,23.55555556,18.33333333,21.90222222,27,27,13,-5,W
Carolina,NewEngland,26,18.08333333,19.44444444,23.77777778,19.22555556,12.77777778,24,20,-2.5,W
Atlanta,NewOrleans,28.8,19.003,18.3,21.4,20.893,29.2,13,17,8,W
Detroit,TampaBay,18.7,20.463,23.7,26.5,20.761,25.3,21,24,-8.5,L
Houston,Jacksonville,12.9,22.208,31.8,19.3,21.079,27.6,6,13,-10,L
GreenBay,Minnesota,24,21.747,32,25.8,20.235,23.9,26,26,-4.5,L
KansasCity,SanDiego,22.8,19.113,22.2,23.2,17.798,13.8,38,41,-4,L
Miami,Carolina,23.8,19.751,13.5,21.3,20.343,22.5,16,20,4.5,W
Cleveland,Pittsburgh,21.6,18.974,24.5,19.2,21.21,23.8,11,27,-2,W
StLouis,Chicago,28.2,20.072,26.7,22.4,19.751,23.4,42,21,-1,W
Baltimore,NewYorkJets,18.3,20.134,26.8,20.8,20.749,21.2,19,3,-3.5,W
Oakland,Tennessee,22.7,18.341,22.6,19.4,18.98,24.6,19,23,0,L
Arizona,Indianapolis,25.2,19.197,22,21.4,19.661,21.2,40,11,-2,W
NewYorkGiants,Dallas,27.4,20.793,25.8,19.2,21.898,25.6,21,24,-2.5,L
NewEngland,Denver,39.8,17.991,25.5,25.4,19.135,19.9,34,31,2.5,W
Washington,SanFrancisco,24.7,19.738,17.8,24.6,21.715,31.1,6,27,5.5,L
Detroit,GreenBay,25.81818182,18.01909091,23.54545455,26,18.84727273,25.18181818,40,10,-7,W
Dallas,Oakland,19.36363636,18.67818182,24.45454545,27.09090909,21.10909091,25.36363636,31,24,-9,W
Baltimore,Pittsburgh,22.09090909,17.88181818,23.27272727,20.63636364,18.35272727,19.54545455,22,20,-2.5,L
Indianapolis,Tennessee,22.72727273,19.17272727,22.27272727,23.90909091,21.09,23.63636364,22,14,-4,W
KansasCity,Denver,39,19.01090909,26.27272727,24.54545455,17.67,16.27272727,28,35,6,L
Cleveland,Jacksonville,12.90909091,23.32636364,29.45454545,18.45454545,19.48636364,24.09090909,28,32,-7,L
Carolina,TampaBay,19.18181818,21.25909091,23.45454545,23.45454545,20.86818182,13.72727273,27,6,-8,W
Minnesota,Chicago,27.54545455,18.86727273,28.09090909,23.63636364,21.00090909,31.45454545,23,20,0,W
Philadelphia,Arizona,19.81818182,20.49454545,20.27272727,25.09090909,19.79545455,23.63636364,24,21,-3,L
NewYorkJets,Miami,20.81818182,20.09909091,22.27272727,16.90909091,20.45818182,26.09090909,3,23,-2,L
SanFrancisco,StLouis,24.18181818,20.71272727,23.18181818,24.90909091,20.69181818,16.72727273,23,13,-8.5,W
Houston,NewEngland,26.18181818,19.63636364,20.90909091,18.09090909,20.99272727,26.27272727,31,34,7.5,W
SanDiego,Cincinnati,25,18.19909091,18.72727273,24.45454545,20.31727273,23.63636364,10,17,0,L
Washington,NewYorkGiants,19.36363636,21.53,25.45454545,22.90909091,21.17363636,30.72727273,17,24,0,L
Seattle,NewOrleans,27.72727273,19.07181818,17.81818182,28.81818182,19.28090909,16.27272727,34,7,-5.5,W
Jacksonville,Houston,19.16666667,21.30333333,26.91666667,14.5,22.38,29.33333333,27,20,3,W
Washington,KansasCity,24.83333333,18.41416667,17.83333333,22.41666667,20.65833333,30.16666667,10,45,3.5,L
Baltimore,Minnesota,23.58333333,20.13666667,30.5,20.75,17.3725,19.58333333,29,26,-7,L
NewEngland,Cleveland,19.25,18.24416667,24.75,26.83333333,19.18833333,21.75,22,26,-10,L
NewYorkJets,Oakland,19.75,19.585,25,15.75,19.705,25.83333333,37,27,-2.5,W
Cincinnati,Indianapolis,23.75,21.30666667,22.83333333,24.33333333,17.92,18,42,28,-5.5,W
NewOrleans,Carolina,23.75,20.69666667,13.08333333,26,20.42666667,19.16666667,31,13,-3.5,W
Philadelphia,Detroit,27.16666667,17.90333333,23.91666667,25,19.51416667,23.41666667,34,20,-2.5,W
Pittsburgh,Miami,21,19.6325,20.66666667,21.91666667,17.84666667,23.16666667,28,34,-3.5,L
TampaBay,Buffalo,22.25,19.00916667,25.58333333,18.08333333,22.56833333,23.75,27,6,-2.5,W
Denver,Tennessee,22,20.05583333,22.25,38.66666667,19.81166667,26.41666667,51,28,-12.5,W
Arizona,StLouis,23.25,22.27916667,23.16666667,19.91666667,21.58166667,20.58333333,30,10,-6.5,W
SanDiego,NewYorkGiants,19.75,20.89,24.75,23.25,20.43083333,23.08333333,37,14,-3.5,W
SanFrancisco,Seattle,29.25,20.20833333,15.5,24.75,20.67916667,16.41666667,19,17,-2.5,L
GreenBay,Atlanta,21.75,21.97166667,28.33333333,24.5,18.57166667,24.91666667,22,21,-3,L
Chicago,Dallas,27.41666667,20.25083333,25.25,26.91666667,18.81166667,27.66666667,45,28,0,W
Denver,SanDiego,24.30769231,19.80307692,22.38461538,39.61538462,19.51538462,26.53846154,20,27,-10.5,L
Atlanta,Washington,21.46153846,20.52076923,31.30769231,21.69230769,22.60692308,27.84615385,27,26,-6.5,L
TampaBay,SanFrancisco,24.30769231,20.74692308,16.46153846,18.76923077,22.05384615,22.38461538,14,33,5,L
Tennessee,Arizona,20.69230769,20.94692308,19.76923077,22.46153846,21.14615385,24.46153846,34,37,2.5,W
StLouis,NewOrleans,26.38461538,20.94076923,18.69230769,22.23076923,22.39,23.69230769,27,16,6.5,W
NewYorkGiants,Seattle,28.30769231,20.81307692,15.76923077,19.30769231,20.99615385,25.69230769,0,23,7.5,L
Cleveland,Chicago,28.30769231,18.27153846,27.69230769,19.76923077,19.32538462,24.92307692,31,38,1,L
Indianapolis,Houston,19.23076923,20.92384615,26.92307692,24.07692308,21.46,24.30769231,25,3,-5.5,W
Jacksonville,Buffalo,21,20.12769231,25.69230769,15.46153846,21.30769231,28.61538462,20,27,2,L
Miami,NewEngland,26.84615385,18.86461538,22.07692308,22,20.46846154,21.23076923,24,20,0,W
Minnesota,Philadelphia,25.23076923,18.72307692,24.23076923,23.76923077,19.97846154,30.38461538,48,30,5,W
Carolina,NewYorkJets,17.38461538,18.93384615,25.92307692,22.92307692,21.23230769,14.46153846,30,20,-11,L
Oakland,KansasCity,26.38461538,17.71076923,17.23076923,20.30769231,19.29384615,25.92307692,31,56,4.5,L
Dallas,GreenBay,24.30769231,17.89846154,24.61538462,27.46153846,20.22538462,26.76923077,36,37,-6.5,L
Pittsburgh,Cincinnati,25.69230769,18.57076923,18.76923077,22.38461538,18.12384615,24,30,20,2,W
Buffalo,Miami,22.14285714,20.09714286,21.14285714,21.42857143,19.62928571,25.28571429,19,0,2.5,W
Carolina,NewOrleans,25.64285714,21.47071429,19.28571429,23.42857143,20.92428571,14.85714286,17,13,-3.5,W
Washington,Dallas,28.07142857,20.235,27.5,21.78571429,20.46,31,23,24,3,W
StLouis,TampaBay,18.42857143,22.34214286,23.14285714,22.57142857,22.50428571,23.14285714,23,13,-5,W
Philadelphia,Chicago,29,18.60428571,27.92857143,25.57142857,18.61785714,25.92857143,54,11,-3.5,W
NewYorkJets,Cleveland,20.57142857,19.34214286,25.85714286,17.57142857,19.89357143,26.21428571,24,13,-2,W
KansasCity,Indianapolis,24.14285714,20.44857143,22.78571429,28.5,16.93,18.21428571,7,23,-6.5,L
Cincinnati,Minnesota,25.5,19.70928571,30.35714286,25.28571429,18.87071429,19.57142857,42,14,-7,W
Houston,Denver,38.21428571,18.87714286,26.57142857,18.07142857,21.39357143,26.78571429,13,37,10.5,L
Jacksonville,Tennessee,23.28571429,21.42,25.35714286,15.78571429,20.76428571,28.5,16,20,5.5,W
Seattle,Arizona,21.85714286,21.225,20.78571429,27.92857143,21.16714286,14.64285714,10,17,-10.5,L
Detroit,NewYorkGiants,17.92857143,21.38857143,25.5,25.85714286,18.55928571,24.21428571,20,23,-9,L
SanDiego,Oakland,21.07142857,19.085,28.07142857,24.5,20.06071429,22.21428571,26,13,-10,W
GreenBay,Pittsburgh,22.92857143,18.24428571,23.71428571,25.21428571,18.58714286,25.85714286,31,38,-1.5,L
Baltimore,NewEngland,26.35714286,19.33285714,22.21428571,21.14285714,17.75785714,19.78571429,7,41,-1,L
SanFrancisco,Atlanta,22.07142857,21.50642857,27.71428571,24.92857143,21.09214286,16.28571429,34,24,-13,L
Indianapolis,KansasCity,26.875,18.265,19.0625,24.4375,20.48375,21,45,44,-1.5,L
Philadelphia,NewOrleans,25.875,21.73375,19,27.25,18.041875,24.75,24,26,-2.5,L
Cincinnati,SanDiego,24.75,19.418125,21.75,26.875,17.93625,19.0625,10,27,-6.5,L
GreenBay,SanFrancisco,25.375,21.42,17,26.0625,17.683125,26.75,20,23,2.5,L
Seattle,NewOrleans,25.88235294,21.75294118,19.29411765,26.75,21.511875,14.4375,23,15,-8,L
NewEngland,Indianapolis,25.64705882,20.74470588,22.35294118,27.75,18.79375,21.125,43,22,-7.5,W
Carolina,SanFrancisco,25.23529412,21.62176471,17.17647059,22.875,21.146875,15.0625,10,23,1.5,L
Denver,SanDiego,24.88235294,19.91117647,21.05882353,37.875,19.273125,24.9375,24,17,-9,L
Denver,NewEngland,28.64705882,18.89117647,21.17647059,37.05882353,19.34705882,24.47058824,26,16,-5,W
Seattle,SanFrancisco,25.11111111,21.64444444,16.77777778,26.52941176,20.66529412,14.47058824,23,17,-3.5,W
GreenBay,Minnesota,22.75,20.22,21,23,23.4625,24,42,10,-9,W
Carolina,Chicago,23,20.1275,25,18.25,19.6275,24,31,24,-2.5,W
NewYorkGiants,Atlanta,32.75,20.36,28.25,25.75,20.86,22.75,30,20,-4,W
NewOrleans,TampaBay,18,18.455,29.75,23.75,20.755,27.5,37,31,-10.5,L
Dallas,Houston,21.75,15.99,16.75,28.75,19.19,21.5,20,17,-5.5,L
Detroit,Buffalo,19.75,20.355,18.75,21.25,19.175,15.5,14,17,-6.5,L
Indianapolis,Baltimore,25.75,18.8375,15,34,18.1325,23.75,20,13,-3.5,W
Jacksonville,Pittsburgh,24.25,18.185,24.75,14.5,22.7675,38,9,17,6.5,L
SanFrancisco,KansasCity,25.5,20.325,19.75,22,22.0625,22.25,22,17,-5,L
SanDiego,NewYorkJets,19.75,17.44,24,25.5,20.255,15.75,31,0,-6.5,W
Houston,Indianapolis,31.2,18.584,21.6,20.8,18.408,17.4,28,33,2.5,L
NewYorkJets,Denver,29,22.38,23.5,15.8,19.846,25.4,17,31,8,L
Cleveland,Pittsburgh,22.8,17.272,21.6,25.75,19.36,26.25,31,10,-2,W
Tennessee,Jacksonville,13.4,21.166,33.8,17.6,21.626,27.8,16,14,-4,L
Atlanta,Chicago,23.2,20.788,26.2,30.2,20.156,28.6,13,27,-3.5,L
Miami,GreenBay,26.8,20.744,21.2,24,18.39,24.25,24,27,3.5,W
Minnesota,Detroit,19.8,18.956,15.8,20.2,21.748,25.2,3,17,2,L
Cincinnati,Carolina,20.8,18.872,24,24.25,19.92,19,37,37,-7,L
Buffalo,NewEngland,24.6,19.166,21.4,19.2,21.324,17.8,22,37,3,L
TampaBay,Baltimore,23.2,19.834,16,20.6,19.944,31.2,17,48,3.5,L
Oakland,SanDiego,26.6,18.572,12.6,12.75,19.815,25.75,28,31,7,W
Seattle,Dallas,27,18.95,20.6,27.5,23.12,20.75,23,30,-8,L
Arizona,Washington,22.4,19.232,27.2,21.5,24.14,21.5,30,20,-3.5,W
Philadelphia,NewYorkGiants,26.6,19.414,22.2,31.2,17.382,26.4,27,0,-2.5,W
StLouis,SanFrancisco,22,20.572,21.2,21,18.4175,29.75,17,31,3.5,L
NewEngland,NewYorkJets,16,21.05833333,26.33333333,26.66666667,19.28666667,21.5,27,25,-9.5,L
Indianapolis,Cincinnati,26.8,19.34,22.6,31.5,19.71,22.66666667,27,0,-3.5,W
Washington,Tennessee,17.33333333,19.85833333,25.5,22,20.15833333,27.66666667,19,17,-5,L
Chicago,Miami,24,19.25,24.8,23.83333333,20.865,24,14,27,-3.5,L
Jacksonville,Cleveland,26.8,18.718,23,13.5,20.955,30.83333333,24,6,5,W
StLouis,Seattle,26.6,22.23,22.6,20.2,19.154,30,28,26,6.5,W
GreenBay,Carolina,23.5,20.16666667,26.16666667,26.83333333,20.62,21.66666667,38,17,-7,W
Baltimore,Atlanta,27.33333333,18.93833333,28.33333333,27.33333333,19.57166667,16.16666667,29,7,-6.5,W
Buffalo,Minnesota,17.33333333,21.045,23.83333333,19.66666667,21.35,21,17,16,-4.5,L
Detroit,NewOrleans,26.4,17.818,28.2,19.33333333,18.42333333,13.66666667,24,23,-3,L
