HomeTeam,VisitorTeam,VisitorPointsScoredAverage,VisitorScheduleStrength,VisitorPointsAllowedAverage,HomePointsScoredAverage,HomeScheduleStrength,HomePointsAllowedAverage,HomeTeamGameScore,VisitorTeamGameScore,Spread,HomeTeamBeatSpread
SanDiego,KansasCity,23.8,22.796,20.2,27.33333333,17.77166667,15.16666667,20,23,-4,L
Dallas,NewYorkGiants,22.16666667,20.165,23,27.5,20.81,21,31,21,-6,W
Oakland,Arizona,23.2,21.894,21.2,15.8,20.028,26.8,13,24,3.5,L
Denver,SanFrancisco,23.5,21.09333333,20.5,29.4,21.632,22.2,42,17,-6.5,W
Pittsburgh,Houston,22,18.62666667,20,20.66666667,18.13,23.16666667,30,23,-3,W
Denver,SanDiego,26.28571429,17.79142857,16.28571429,31.5,22.46166667,21.33333333,35,21,-8,W
TampaBay,Minnesota,17.14285714,20.93857143,22.85714286,20,19.01333333,34,13,19,-2.5,L
NewEngland,Chicago,22.42857143,19.94285714,24.42857143,26.71428571,17.93,22,51,23,-6.5,W
KansasCity,StLouis,21.5,20.23666667,29.33333333,23.66666667,24.015,20.16666667,34,7,-6.5,W
Carolina,Seattle,26.5,22.61166667,23.5,22.57142857,21.14142857,27.85714286,9,13,5,W
NewYorkJets,Buffalo,19.28571429,20.1,20.28571429,17.28571429,22.18285714,26.42857143,23,43,-3,L
Jacksonville,Miami,24.5,19.82333333,23,15,20.41428571,27.28571429,13,27,5,L
Tennessee,Houston,22.14285714,18.85857143,21.42857143,17.28571429,20.01285714,24.57142857,16,30,1,L
Cincinnati,Baltimore,27.57142857,18.17857143,14.85714286,22.33333333,20.555,23.33333333,27,24,0,W
Arizona,Philadelphia,30.5,17.40666667,22,23.33333333,20.68333333,19.83333333,24,20,-2.5,W
Pittsburgh,Indianapolis,30.85714286,20.21,19.42857143,22,17.35428571,23.14285714,51,34,3.5,W
Cleveland,Oakland,15.33333333,20.33666667,26.33333333,23.33333333,17.585,23.16666667,23,13,-7,W
NewOrleans,GreenBay,28.42857143,20.41428571,21,25.83333333,18.62166667,27.5,44,23,-2,W
Dallas,Washington,21.57142857,19.03,26.14285714,28,19.48142857,21,17,20,-9.5,L
Carolina,NewOrleans,28.42857143,18.86142857,26.85714286,20.875,21.045,26,10,28,2.5,L
Miami,SanDiego,25.625,19.92375,18.625,24.85714286,18.82571429,21.57142857,37,0,-2,W
Cincinnati,Jacksonville,14.75,20.0725,27.25,23,20.22285714,23.42857143,33,23,-11,L
Cleveland,TampaBay,19,18.4,31.85714286,23.28571429,16.41428571,21.71428571,22,17,-6.5,L
Minnesota,Washington,21.375,19.7775,25,17.375,20.3375,21.625,29,26,-1,W
Houston,Philadelphia,29,18.75,22.28571429,23.125,18.74875,20.75,21,31,2,L
KansasCity,NewYorkJets,18,21.13625,28.5,25.14285714,22.53142857,18.28571429,24,10,-9.5,W
Dallas,Arizona,23.42857143,21.10142857,19.85714286,26.625,18.95625,20.875,17,28,-1.5,L
SanFrancisco,StLouis,19.42857143,21.20571429,30,22.57142857,23.27571429,23.57142857,10,13,-10,L
NewEngland,Denver,32,22.13428571,21.28571429,29.75,17.97375,22.125,43,21,3.5,W
Seattle,Oakland,15,20.57285714,25.85714286,24.57142857,21.95857143,21.42857143,30,24,-14.5,L
Pittsburgh,Baltimore,27.125,18.9675,16.375,25.625,17.7175,24.5,43,23,0,W
NewYorkGiants,Indianapolis,31.25,20.335,23.375,22,21.10571429,24.14285714,24,40,3.5,L
Cincinnati,Cleveland,23.125,16.08,21.125,24.25,18.56,23.375,3,24,-6.5,L
Detroit,Miami,26.375,19.3775,18.875,20.25,18.08625,15.75,20,16,-2.5,W
Buffalo,KansasCity,25,20.87625,17.25,22.25,20.07625,20.625,13,17,0,L
NewOrleans,SanFrancisco,21,21.9575,22.25,28.375,19.1175,24.75,24,27,-5,L
Baltimore,Tennessee,17.125,19.32125,25.25,26.66666667,19.49777778,19.33333333,21,7,-9.5,W
NewYorkJets,Pittsburgh,27.55555556,17.79,24.33333333,17.11111111,21.93,28,20,13,3.5,W
TampaBay,Atlanta,24,19.75875,27.625,18.75,18.70375,30.625,17,27,2,L
Oakland,Denver,30.625,22.51875,24,16.125,21.7125,26.375,17,41,12,L
Arizona,StLouis,18.625,21.48125,27.5,24,20.7125,19.5,31,14,-7,W
Seattle,NewYorkGiants,22.25,21.28625,26.125,25.25,19.575,21.75,38,17,-9.5,W
GreenBay,Chicago,22.5,21.145,27.75,27.75,20.52125,23.875,55,14,-8,W
Philadelphia,Carolina,19.66666667,21.02555556,26.22222222,29.25,19.0225,22.125,45,21,-6.5,W
Miami,Buffalo,21.22222222,21.15,20.22222222,25.22222222,20.57,19,22,9,-4.5,W
Cleveland,Houston,22.88888889,19.57666667,21.88888889,23.22222222,15.53555556,19.11111111,7,23,-3.5,L
Chicago,Minnesota,18.66666667,19.24555556,22.11111111,21.55555556,21.95666667,30.77777778,21,13,-3.5,W
GreenBay,Philadelphia,31,18.73666667,22,30.77777778,19.11555556,22.77777778,53,20,-6,W
KansasCity,Seattle,26.66666667,19.08333333,21.22222222,24.11111111,21.60111111,16.77777778,24,20,-1.5,W
Carolina,Atlanta,24.33333333,17.35777778,26.44444444,19.8,20.507,28.1,17,19,0,L
NewOrleans,Cincinnati,21.88888889,18.18111111,23.44444444,27.88888889,18.9,25,10,27,-7,L
Washington,TampaBay,18.55555556,17.31111111,30.22222222,21.88888889,19.91111111,25.44444444,7,27,-7,L
StLouis,Denver,31.77777778,22.45666667,23.22222222,18.11111111,22.35111111,27.88888889,22,7,9.5,W
NewYorkGiants,SanFrancisco,21.66666667,22.62444444,22.44444444,21.66666667,22.73444444,27.44444444,10,16,4.5,L
SanDiego,Oakland,16.22222222,23.62777778,28,22.77777778,21.48666667,20.66666667,13,6,-10,L
Arizona,Detroit,20.22222222,17.82,15.77777778,24.77777778,20.16666667,18.88888889,14,6,-1,W
Indianapolis,NewEngland,31.22222222,19.45333333,22,32.22222222,20.12444444,23.44444444,20,42,-2.5,L
Tennessee,Pittsburgh,26.1,18.178,23.9,16,21.03,24.77777778,24,27,6,W
Oakland,KansasCity,24.1,21.449,17.1,15.2,23.339,26.5,24,20,7,W
Atlanta,Cleveland,21.6,16.483,19.5,23.8,18.156,25.5,24,26,-3.5,L
Philadelphia,Tennessee,16.8,20.278,25,29.9,19.512,25.1,43,24,-11,W
NewEngland,Detroit,18.8,19.149,15.6,32.3,20.262,21.8,34,9,-7,W
Minnesota,GreenBay,33,19.29,22.5,18.1,19.912,22,21,24,9.5,W
Indianapolis,Jacksonville,15.8,20.859,28.2,31,20.433,25.3,23,3,-14,W
Houston,Cincinnati,22.4,18.687,22.1,22.9,19.144,20.4,13,22,-1.5,L
Chicago,TampaBay,19.4,17.655,27.9,21.5,21.549,29,21,13,-5,W
Seattle,Arizona,23.7,19.64,17.6,26,19.938,21.5,19,3,-6.5,W
SanDiego,StLouis,18.5,22.59,25.8,21.8,19.751,19.2,27,24,-5,L
Denver,Miami,24.9,20.403,18,29.3,21.945,23.1,39,36,-7,L
SanFrancisco,Washington,20.4,18.557,25.6,21.1,22.189,21.2,17,13,-9,L
NewYorkGiants,Dallas,26.1,17.614,21.2,20.5,21.939,26.3,28,31,3.5,W
NewOrleans,Baltimore,26.1,17.948,18.1,26.1,19.228,25.2,27,34,-3.5,L
Detroit,Chicago,21.45454545,20.37363636,27.54545455,17.90909091,20.11,17.27272727,34,17,-7,W
Dallas,Philadelphia,31.09090909,18.27727273,25,26.54545455,17.34,21.81818182,10,33,-3.5,L
SanFrancisco,Seattle,25.36363636,20.08,19.81818182,20.72727273,20.82090909,20.45454545,3,19,-1,L
Indianapolis,Washington,19.72727273,18.92,24.81818182,30.27272727,19.42636364,23.27272727,49,27,-9,W
Houston,Tennessee,17.45454545,21.13090909,26.63636364,22,19.47545455,20.54545455,45,21,-6.5,W
Buffalo,Cleveland,22,16.78636364,19.90909091,21.63636364,20.53909091,18.81818182,26,10,-2.5,W
Baltimore,SanDiego,22.27272727,19.35272727,19.63636364,26.81818182,18.61636364,18.90909091,33,34,-5.5,L
Jacksonville,NewYorkGiants,21.18181818,21.41181818,26.72727273,14.63636364,21.88909091,27.72727273,25,24,2.5,W
TampaBay,Cincinnati,22.36363636,19.36363636,21.27272727,18.81818182,17.91727273,27.27272727,13,14,4,W
StLouis,Oakland,16,23.85181818,25.90909091,19,22.52727273,25.90909091,52,0,-7,W
Pittsburgh,NewOrleans,26.18181818,19.30727273,26,26.18181818,18.00545455,23.90909091,32,35,-4,L
Minnesota,Carolina,19.54545455,20.18727273,27.27272727,18.36363636,20.19181818,22.18181818,31,13,-3,W
Atlanta,Arizona,21.81818182,20.19454545,17.72727273,23.81818182,18.05181818,25.54545455,29,18,2,W
GreenBay,NewEngland,32.45454545,20.44636364,20.63636364,32.18181818,19.20818182,22.36363636,26,21,-3,W
KansasCity,Denver,30.18181818,21.96545455,24.27272727,23.72727273,21.22363636,17.72727273,16,29,0,L
NewYorkJets,Miami,25.90909091,21.52272727,19.90909091,16.09090909,22.15454545,27.54545455,13,16,6.5,W
Chicago,Dallas,25.16666667,17.51916667,22.75,21.08333333,21.29833333,28.08333333,28,41,3.5,L
Miami,Baltimore,27.33333333,18.47333333,20.16666667,25.08333333,21.31833333,19.33333333,13,28,-3,L
Cincinnati,Pittsburgh,26.66666667,17.8325,24.83333333,21.66666667,18.78666667,20.58333333,21,42,-3.5,L
Cleveland,Indianapolis,31.83333333,18.41583333,23.58333333,21,17.23,20.41666667,24,25,3.5,W
Jacksonville,Houston,23.91666667,17.7275,20.58333333,15.5,20.7075,27.41666667,13,27,4.5,L
Tennessee,NewYorkGiants,21.41666667,20.61583333,26.58333333,17.75,21.175,28.16666667,7,36,1,L
NewOrleans,Carolina,19,20.64583333,27.58333333,26.91666667,19.5,26.5,10,41,-9.5,L
Detroit,TampaBay,18.33333333,18.10833333,26.16666667,19.25,20.0375,17.25,34,17,-9.5,W
Washington,StLouis,21.75,21.31333333,23.75,20.33333333,19.71666667,26.83333333,0,24,3,L
Minnesota,NewYorkJets,15.83333333,22.26416667,26.58333333,19.41666667,20.1175,21.41666667,30,24,-5.5,L
Denver,Buffalo,22,20.3125,18.08333333,30.08333333,22.3825,23.58333333,24,17,-10,L
Arizona,KansasCity,23.08333333,21.57333333,18.66666667,21.5,20.1975,18.66666667,17,14,1,W
Oakland,SanFrancisco,19.25,21.0925,20.33333333,14.66666667,23.33416667,28.08333333,24,13,8,W
Philadelphia,Seattle,24.83333333,20.19583333,18.41666667,31.25,18.765,23.75,14,24,0,L
SanDiego,NewEngland,31.5,21.4125,21.08333333,23.25,19.96333333,20.75,14,23,3.5,L
GreenBay,Atlanta,24.25,18.3725,24.91666667,31.66666667,20.58916667,22.25,43,37,-12,L
StLouis,Arizona,21.15384615,20.59615385,18.30769231,21.92307692,20.77461538,21.92307692,6,12,-6,L
KansasCity,Oakland,15.38461538,22.91,26.92307692,22.38461538,22.00923077,18.53846154,31,13,-10,W
Baltimore,Jacksonville,15.30769231,20.29307692,27.38461538,27.38461538,18.98076923,19.61538462,20,12,-13.5,L
Atlanta,Pittsburgh,27.84615385,17.92769231,24.53846154,25.23076923,19.19153846,26.30769231,20,27,2,L
Indianapolis,Houston,24.15384615,17.41076923,20,31.30769231,18.62846154,23.61538462,17,10,-6.5,W
Cleveland,Cincinnati,21.61538462,18.80769231,22.23076923,21.23076923,17.69461538,20.76923077,0,30,-1.5,L
NewEngland,Miami,24.15384615,21.22,20,30.84615385,21.59769231,20.53846154,41,13,-7.5,W
Carolina,TampaBay,18.23076923,18.72769231,26.76923077,20.69230769,20.47461538,26.23076923,19,17,-3.5,L
NewYorkGiants,Washington,18.76923077,19.45076923,26.61538462,22.53846154,20.11230769,25.07692308,24,13,-6.5,W
Buffalo,GreenBay,32.53846154,19.70692308,23.38461538,21.61538462,20.99076923,18.53846154,21,13,5,W
Detroit,Minnesota,18.92307692,19.19307692,21.92307692,20.38461538,19.00461538,17.23076923,16,14,-7.5,L
Tennessee,NewYorkJets,16.46153846,22.20384615,26.84615385,16.92307692,20.28461538,28.76923077,11,16,2.5,L
SanDiego,Denver,29.61538462,22.26846154,23.07692308,22.53846154,20.86615385,20.92307692,10,22,4,L
Seattle,SanFrancisco,18.76923077,20.78846154,20.61538462,24.76923077,21.05307692,18.07692308,17,7,-10,L
Philadelphia,Dallas,26.38461538,17.67538462,23.15384615,29.92307692,19.12846154,23.76923077,27,38,-3.5,L
Chicago,NewOrleans,25.61538462,19.22461538,27.61538462,21.61538462,20.87923077,29.07692308,15,31,3,L
Jacksonville,Tennessee,19.375,18.59125,18.9375,15.3125,17.968125,19.75,21,13,-3,W
SanFrancisco,SanDiego,26.61111111,18.66555556,21.5,21.375,17.04375,27.1875,35,38,-2.5,L
Washington,Philadelphia,22.05555556,19.49888889,21.27777778,17.5625,17.395625,22.4375,27,24,7.5,W
Miami,Minnesota,18.57142857,19.49785714,21.5,23.35714286,22.18357143,21.5,37,35,-6.5,L
TampaBay,GreenBay,31.14285714,20.01357143,23.21428571,18.14285714,18.53071429,26.21428571,3,20,10.5,L
Chicago,Detroit,20.07142857,18.84357143,17,21.14285714,20.45285714,29.21428571,14,20,6.5,W
NewOrleans,Atlanta,24.85714286,19.07785714,26.35714286,26,19.07285714,26.71428571,14,30,-6.5,L
NewYorkJets,NewEngland,31.57142857,21.495,20,16.42857143,21.48071429,25.71428571,16,17,10,W
Pittsburgh,KansasCity,23,21.18714286,18.14285714,27.78571429,18.01,24.21428571,20,12,-3,W
Carolina,Cleveland,19.71428571,18.12571429,21.42857143,20.57142857,19.695,25.57142857,17,13,-3,W
Houston,Baltimore,26.85714286,18.29071429,19.07142857,23.14285714,18.27714286,19.78571429,25,13,5.5,W
StLouis,NewYorkGiants,22.64285714,19.28857143,24.21428571,20.78571429,20.90428571,21.21428571,27,37,-5,L
Oakland,Buffalo,21.57142857,21.07571429,18.14285714,15.21428571,23.14,27.21428571,26,24,6,W
Dallas,Indianapolis,30.28571429,18.76071429,22.64285714,27.21428571,18.15,23.42857143,42,7,-2.5,W
Arizona,Seattle,24.21428571,20.35142857,17.28571429,20.5,20.64714286,17.42857143,6,35,8,L
Cincinnati,Denver,29.07142857,22.55142857,22.14285714,22.21428571,18.87571429,20.64285714,37,28,3.5,W
Pittsburgh,Baltimore,25.5625,18.34875,18.875,27.25,18.25125,23,17,30,-3.5,L
Dallas,Detroit,20.0625,19.246875,17.625,29.1875,18.04875,22,24,20,-7,L
Indianapolis,Cincinnati,22.8125,19.504375,21.5,28.625,18.835625,23.0625,26,10,-4,W
Carolina,Arizona,19.375,21.17125,18.6875,21.1875,19.185,23.375,27,16,-4.5,W
NewEngland,Baltimore,25.82352941,18.49411765,18.76470588,29.25,21.065,19.5625,35,31,-7,L
GreenBay,Dallas,28.88235294,18.33058824,21.88235294,30.375,19.77125,21.75,26,21,-6,L
Seattle,GreenBay,30.11764706,19.88352941,21.70588235,25,20.28235294,15.94117647,28,22,-8,L
NewEngland,Indianapolis,28.22222222,19.40277778,21.77777778,29.58823529,21.08411765,20.23529412,45,7,-7,W
Houston,Indianapolis,18,17.885,23.25,19.25,19.0725,27,20,27,-4,L
Tennessee,Buffalo,27.5,20.3825,23,29.66666667,16.15,25.66666667,13,14,2,W
Baltimore,Cleveland,21.25,18.015,25.5,23.25,23.9275,26,30,33,-6.5,L
Atlanta,Washington,19.5,18.8225,19.75,34.25,20.4225,23.25,25,19,-7.5,L
KansasCity,Chicago,17,22.425,31.25,25,24.95,31.25,17,18,-9.5,L
Philadelphia,NewOrleans,21.5,19.85,26,19.5,22.4175,21.5,39,17,-5,W
GreenBay,StLouis,18.5,22.8075,22.25,28.25,18.755,20.25,24,10,-9.5,W
Cincinnati,Seattle,21.75,19.765,17.75,30.25,19.3175,19.25,27,24,-3,L
Detroit,Arizona,37,15.3525,18.25,16.5,23.7275,24,17,42,3,L
Oakland,Denver,24.25,19.945,17.25,24.25,19.19,27,10,16,4.5,L
NewYorkGiants,SanFrancisco,14.5,23.895,27.5,25.5,21.3375,20.5,30,27,-7,L
SanDiego,Pittsburgh,24,20.8125,18.75,24,19.4725,27.5,20,24,-3.5,L
NewOrleans,Atlanta,32.4,19.154,22.4,20.6,20.688,28.6,31,21,3.5,W
Cleveland,Denver,22.6,19.006,15.8,23.6,19.22,26.4,23,26,4,W
Buffalo,Cincinnati,29.6,19.642,20.2,24.8,20.164,21,21,34,3.5,L
Minnesota,KansasCity,23.4,22.468,28.6,20,19.3475,18.25,16,10,-3.5,W
Jacksonville,Houston,19.4,18.588,27,18.6,20.022,29,20,31,1,L
Detroit,Chicago,17.2,22.626,28.4,16.6,23.558,27.6,37,34,-2.5,L
NewYorkJets,Washington,19.4,20.386,20.8,23.75,18.4025,13.75,34,20,-6,W
Pittsburgh,Arizona,38,16.026,18,24,20.89,19,25,13,3,W
Tennessee,Miami,16.25,19.585,25.25,25.5,17.56,22.75,10,38,-2.5,L
Seattle,Carolina,27,13.885,17.75,22.2,21.222,19.6,23,27,-7,L
GreenBay,SanDiego,23.2,19.994,26.8,27.4,18.276,18.2,27,20,-10,L
SanFrancisco,Baltimore,24.6,22.084,27.4,17,24.336,28,25,20,2.5,W
Indianapolis,NewEngland,37.25,19.515,19,19.8,17.974,22.6,27,34,8,W
Philadelphia,NewYorkGiants,26.4,19.496,21.8,23.4,20.428,20.6,27,7,-4,W
StLouis,Cleveland,23.5,19.58833333,26.33333333,16.8,24.294,22.6,24,6,-6.5,W
KansasCity,Pittsburgh,24.16666667,21.755,18,21.16666667,22.725,26.5,23,13,-3,W
Miami,Houston,21.33333333,17.7,25.83333333,20.6,18.088,22.2,44,26,-4.5,W
NewEngland,NewYorkJets,25.8,18.396,15,36.6,19.948,20.6,30,23,-7.5,L
Detroit,Minnesota,19.2,18.988,16.6,20,21.565,28.66666667,19,28,1,L
Tennessee,Atlanta,30.5,19.25,23.83333333,22.4,17.308,25.8,7,10,6,W
Indianapolis,NewOrleans,22.33333333,20.87333333,27.33333333,21,18.915,24.5,21,27,-4,L
SanDiego,Oakland,21.4,20.22,24.8,22.66666667,22.14,26.83333333,29,37,-4,L
NewYorkGiants,Dallas,20.2,22.046,26.2,23.16666667,20.13166667,22.66666667,27,20,-3.5,W
Carolina,Philadelphia,24,20.06166667,18.33333333,27,16.868,18.8,27,16,-3,W
Arizona,Baltimore,23.83333333,21.92333333,27,33.83333333,18.23,19.16666667,26,18,-8.5,L
NewEngland,Miami,24.5,17.26666667,23.16666667,35.5,19.52333333,21,36,7,-8,W
Chicago,Minnesota,20.66666667,18.71333333,17,20,22.1,29.83333333,20,23,0,L
NewOrleans,NewYorkGiants,23.71428571,19.11428571,22.28571429,23,20.9,26.42857143,52,49,-3.5,L
StLouis,SanFrancisco,16.14285714,22.90857143,25.71428571,18,22.44,19.83333333,27,6,-8,W
Cleveland,Arizona,32.71428571,17.99142857,19,21,19.89428571,26,20,34,5,L
Pittsburgh,Cincinnati,30.33333333,20.09,20.33333333,22.57142857,21.35714286,18.71428571,10,16,-1,L
Baltimore,SanDiego,23.57142857,20.76428571,28.28571429,23,22.34428571,26.85714286,29,26,-3.5,L
Houston,Tennessee,19.83333333,17.90166667,23.16666667,22.28571429,18.80714286,28.42857143,20,6,-4.5,W
Oakland,NewYorkJets,25.33333333,20.13,17.5,24,20.055,25.5,34,20,3,W
Dallas,Seattle,22,20.88428571,19.85714286,20.16666667,22.11666667,26.33333333,12,13,5,W
Denver,GreenBay,27.33333333,18.185,18.5,23.16666667,19.10833333,17,29,10,2.5,W
Carolina,Indianapolis,21,18.47,24.85714286,27,17.90333333,18.33333333,29,26,-6.5,L
Cincinnati,Cleveland,20.875,20.4575,27,28.28571429,21.29571429,18.85714286,31,10,-11,W
Pittsburgh,Oakland,25.42857143,20.24,24.71428571,21,22.0525,18.375,38,35,-4.5,L
NewYorkJets,Jacksonville,21,19.76857143,29.57142857,24.57142857,20.20571429,19.85714286,28,23,-6.5,L
Minnesota,StLouis,19.28571429,20.59571429,17.85714286,21,18.44285714,17.42857143,21,18,-2.5,L
Buffalo,Miami,22,19.07571429,25,25.14285714,19.49142857,24.71428571,33,17,-3,W
NewOrleans,Tennessee,17.85714286,17.33142857,22.71428571,26.625,20.45,29.25,28,34,-8,L
NewEngland,Washington,21.57142857,19.34428571,24.14285714,35.57142857,18.77142857,19,27,10,-14,W
Carolina,GreenBay,24.85714286,20.02571429,20,27.28571429,17.98714286,19.42857143,37,29,2.5,W
SanFrancisco,Atlanta,26.625,17.44875,21.625,14.875,22.57625,25.875,17,16,7,W
Indianapolis,Denver,24,20.20428571,16,21.625,19.2975,25.375,27,24,5,W
Dallas,Philadelphia,22.85714286,20.42142857,19.57142857,19,22.01428571,24.42857143,27,33,2.5,W
SanDiego,Chicago,20,21.64428571,28.85714286,23.875,20.87,28.375,19,22,-4,L
NewYorkJets,Buffalo,26.125,19.38625,23.75,25,19.025,20.25,17,22,-2.5,L
GreenBay,Detroit,18.625,21.43625,30.625,25.375,20.7,22.125,16,18,-11,L
Tennessee,Carolina,28.5,18.63125,20.625,19.875,17.62,23.375,10,27,5,L
StLouis,Chicago,20.25,21.315,27.625,19.125,20.85625,18.25,13,37,-7.5,L
Washington,NewOrleans,26.77777778,19.46333333,29.77777778,20.125,20.8325,24.5,47,14,1,W
Philadelphia,Miami,21.375,20.01625,26,24.125,20.3525,20.5,19,20,-6.5,L
Pittsburgh,Cleveland,19.66666667,21.48777778,27.44444444,22.88888889,21.53555556,20.22222222,30,9,-4.5,W
Baltimore,Jacksonville,21.25,20.4725,29.375,23.75,21.73125,26.75,20,22,-5,L
Oakland,Minnesota,21,18.20375,17.5,26.625,20.7825,26.375,14,30,-3,L
Denver,KansasCity,24.375,21.70375,22.75,24,20.2725,17.375,13,29,-6,L
NewYorkGiants,NewEngland,34.5,18.37375,17.875,27.44444444,18.46777778,25.11111111,26,27,7.5,W
Seattle,Arizona,32.875,17.60875,19.125,20.875,20.7925,18.875,32,39,-3.5,L
Cincinnati,Houston,22,17.91375,25.625,28.625,20.3075,17.75,6,10,-10.5,L
